,Year,Country,Latitude,Longitude,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
344,1992,SOLOMON ISLANDS,-11.122,165.239,0.0,0.0,0.0,,,
345,1992,USA,,,0.0,0.0,75.0,,,
346,1992,JAPAN,39.419,143.33,0.0,0.0,0.0,,,
347,1992,JAPAN,32.536,141.641,0.0,0.0,0.0,,,
348,1992,NICARAGUA,11.727,-87.386,170.0,0.0,489.0,30.0,1500.0,
349,1992,INDONESIA,-8.48,121.896,2500.0,0.0,2103.0,100.0,31785.0,
350,1993,JAPAN,37.634,137.245,0.0,0.0,0.0,,,
351,1993,WALLIS AND FUTUNA (FRENCH TERRITORY),-14.385,-178.252,5.0,0.0,20.0,,,
352,1993,RUSSIA,51.218,157.829,0.0,0.0,0.0,,,
353,1993,NEW ZEALAND,-28.886,-176.819,0.0,0.0,0.0,,,
354,1993,JAPAN,42.851,139.197,231.0,0.0,233.0,1207.0,2374.0,
355,1993,JAPAN,41.985,139.839,0.0,0.0,0.0,,,
356,1993,USA TERRITORY,12.982,144.801,0.0,0.0,48.0,250.0,,
357,1993,RUSSIA,51.934,158.647,0.0,0.0,0.0,,,
358,1994,USA,44.4,-67.97,0.0,0.0,0.0,,,
359,1994,USA,34.213,-118.537,60.0,0.0,7000.0,40000.0,40000.0,
360,1994,INDONESIA,1.015,127.733,9.0,0.0,300.0,,,550.0
361,1994,INDONESIA,-4.967,104.302,0.0,0.0,0.0,,,
362,1994,JAPAN,40.608,143.683,0.0,0.0,0.0,,,
363,1994,NORWAY,61.267,6.583,0.0,0.0,0.0,,,
364,1994,TAIWAN,23.959,122.448,0.0,0.0,0.0,,,
365,1994,INDONESIA,-10.477,112.835,238.0,0.0,423.0,2.2,1500.0,
366,1994,INDONESIA,-10.362,112.892,0.0,0.0,0.0,,,
367,1994,INDONESIA,-10.777,113.366,0.0,0.0,0.0,,,
368,1994,INDONESIA,-10.341,113.369,0.0,0.0,0.0,,,
369,1994,USA,40.402,-125.68,0.0,0.0,0.0,,,
370,1994,TAIWAN,22.528,118.711,1.0,0.0,400.0,,,
